coordinate_id,constructor,search_stratum,round_robin_order,J_search
ID(ece20),C0,C0:ECE,39,0.8739125603665606
ID(ece22),C0,C0:ECE,40,0.8747625378406768
ID(ece15),C0,C0:ECE,41,0.8748553736646457
ID(ece9),C0,C0:ECE,42,0.8764157918301371
ID(ece8),C0,C0:ECE,43,0.8767624215079982
ID(ece14),C0,C0:ECE,44,0.8813691474714733
ID(ece7),C0,C0:ECE,45,0.8818699263171065
ID(ece10),C0,C0:ECE,46,0.8819162687323957
ID(ece19),C0,C0:ECE,47,0.8834542492050247
ID(ece5),C0,C0:ECE,48,0.8858615127985952
ID(ece11),C0,C0:ECE,49,0.8885685482217848
ID(ece6),C0,C0:ECE,50,0.8908817663733187
ID(ece12),C0,C0:ECE,51,0.8997810500784136
DOT(cerqtit3),C1,C1:CER,1,0.9443760978457637
DOT(ece1),C1,C1:ECE,2,0.9489803582739601
DOT(gasc),C1,C1:GAS,3,0.9536572081391579
DOT(ip),C1,C1:MAG,4,0.9205568560060974
DOT(pinj_33r),C1,C1:NBI,5,0.951409795240155
DOT(cerqrott3),C1,C1:CER,6,0.9450895451769461
DOT(ece20),C1,C1:ECE,7,0.9523204460885398
DOT(pinj_15l),C1,C1:NBI,8,0.951632122831537
DOT(cerqrott6),C1,C1:CER,9,0.9508024052582438
DOT(tinj),C1,C1:NBI,10,0.9520576588493012
DOT(cerqtit12),C1,C1:CER,11,0.9526015755441369
